seurat_clusters,type,r
1,"r<0.5, unassigned",0.11757893661228244
0,DC.IIhilang-103-11b+.SLN#1,0.7846836106527366
8,"r<0.5, unassigned",0.10556512255669499
17,"r<0.5, unassigned",0.007236281045428781
11,DC.IIhilang+103-11b+.SLN#2,0.790404813883708
15,"r<0.5, unassigned",0.13291648542935197
2,"r<0.5, unassigned",0.12639505611915738
7,DC.IIhilang-103-11b+.SLN#1,0.6794806980434724
13,"r<0.5, unassigned",0.13532382587132868
14,"r<0.5, unassigned",0.32987101460586954
4,"r<0.5, unassigned",0.0468613099119296
6,DC.IIhilang-103-11b+.SLN#1,0.659797097725923
3,DC.IIhilang+103+11blo.SLN#2,0.7530831250727897
16,"r<0.5, unassigned",0.3319054295529685
12,DC.IIhilang-103-11b+.SLN#1,0.7363183028213359
5,DC.IIhilang-103-11blo.SLN#2,0.6821388424320264
9,"r<0.5, unassigned",0.41694850658275767
10,"r<0.5, unassigned",0.27439170203531027
