seurat_clusters,type,r
1,cDC2 Tbet-,0.733129641652702
0,CCR7hi DC,0.7286447291854468
8,cDC2 Tbet-,0.7289337061815081
17,Monocyte,0.504407997249036
11,CCR7hi DC,0.6971979939091538
15,cDC2 Tbet-,0.7368132167553515
2,cDC2 Tbet-,0.7581873057612829
7,CCR7hi DC,0.7490422740429572
13,cDC2 Tbet-,0.7165176863688255
14,cDC1,0.7311131021046066
4,cDC2 Tbet-,0.6779933848133665
6,CCR7hi DC,0.7717752865272457
3,CCR7hi DC,0.7387988999518567
16,cDC1,0.8058213006204366
12,CCR7hi DC,0.7216460923638434
5,CCR7hi DC,0.7385468692782796
9,cDC2 Tbet-,0.725604732216132
10,cDC2 Tbet-,0.7667249092333128
