seurat_clusters,type,r
0,CD34+ SC,0.6901776881978612
4,CD34+ SC,0.6949225921836506
2,CD34+ SC,0.6845742322309719
1,CD34+ SC,0.6223457885187198
3,Cxcl9+ TRC,0.8160568192277238
