cluster,migcDC2A,migcDC1,lang,migcDC2B
1,0.5536405940220396,0.45525377205689205,0.4351687631222024,0.4773651153403799
2,0.5315065436553764,0.44542591772735046,0.4304218049837581,0.4673223411470828
3,0.7525113723831662,0.7380183987213647,0.6749449148960163,0.7026006933409897
4,0.7630758391488618,0.6923776902435734,0.6721952688708541,0.7038852687429906
5,0.49052739074518353,0.47353522958877076,0.4179229915441008,0.49204136160659623
6,0.5514226360735033,0.49673653775357574,0.463645553465117,0.5261942888666183
7,0.5316160578848139,0.4336195639192502,0.40822824681443526,0.43811690088256167
8,0.509661922738301,0.41987026017891294,0.400178721958888,0.4317841624808142
9,0.4798207538208719,0.39482491246796864,0.3925863618628662,0.41020151070297695
10,0.539567145450987,0.4381328247083343,0.4244333995942804,0.45162641359288674
11,0.41030145969276505,0.33757167666017707,0.33439404201580436,0.3396197271665359
12,0.5655716852077517,0.48922657741561115,0.4536947149235584,0.5029588957414801
13,0.5934028763147912,0.5633674165960062,0.5069992935516963,0.5417261015475673
14,0.7913232211844432,0.7145704049520819,0.6862104402370413,0.7262739102891267
15,0.6374714140830313,0.5531718670151956,0.5289108531794434,0.5965256932215934
16,0.5197183103446731,0.4247480811219649,0.4014256822240856,0.43439534050008377
17,0.750241212068091,0.6586214287472085,0.6251493413709629,0.6759713957450418
18,0.5640022695928344,0.4535708828598293,0.43386444435633265,0.4728487459662935
19,0.5372527367345082,0.5179865946586705,0.46306182012786395,0.5159432552878279
20,0.5385007069681185,0.4606499754985887,0.4401348608321792,0.5249020548306608
