p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene
2.6330180612329792e-92,-1.0265247778802813,0.997,1,8.235027288312266e-88,2,Ptma
9.102038054009859e-83,-0.7148160435506274,0.992,0.997,2.8467534217721233e-78,2,Ppia
7.589709514793607e-69,-1.634392804817095,0.08,0.69,2.3737575478468486e-64,2,Stmn1
9.74873395063968e-67,-1.972654244092411,0.603,0.932,3.049014030402066e-62,2,Hmgb2
3.351822581206693e-64,-0.9536490011574803,0.696,0.949,1.0483160304982053e-59,2,Ran
1.0271159869620157e-58,-1.6766366027064346,0.019,0.562,3.2124079608224e-54,2,Pclaf
9.356986390847569e-54,-1.0039111424269187,0.773,0.949,2.9264910636014857e-49,2,Hmgb1
3.3328210769221565e-52,-1.0254469718872676,0.24,0.75,1.0423731200181736e-47,2,Cks1b
3.296080597864083e-51,-0.7333699612615767,0.995,1,1.0308821677879708e-46,2,H2afz
1.5128069151640022e-50,-0.5773894359289775,0.936,0.994,4.7314549078669336e-46,2,Gapdh
1.512811024913872e-50,0.38224722592781113,1,0.997,4.731467761520626e-46,2,H2-Eb1
1.891704719750963e-48,-1.361572587845103,0.384,0.786,5.916495681493111e-44,2,Tuba1b
2.3808303670598114e-48,0.3593773980556554,1,1,7.446285056016266e-44,2,H2-Aa
2.6982725355925282e-45,-0.511641478527078,0.995,1,8.439117182319192e-41,2,Tmsb10
3.500986812630881e-45,-0.7751342303244284,0.717,0.926,1.0949686355184344e-40,2,Anp32b
1.0023787441195054e-44,-0.778083402089049,0.688,0.923,3.135039760108165e-40,2,Ranbp1
4.666779464159978e-44,0.2666103208629975,1,0.997,1.4595819452106748e-39,2,Cd74
7.724229464868179e-43,-1.2421541434961196,0.027,0.455,2.415830007432172e-38,2,Top2a
9.480926188160022e-43,0.6540686070525208,1,0.997,2.965254474608928e-38,2,Malat1
4.55560400360251e-42,-0.9401042756021546,0.029,0.458,1.4248107081667211e-37,2,Mki67
6.18099807426601e-42,-0.7858644062527462,0.579,0.917,1.9331689577074375e-37,2,Tagln2
1.1070685372242558e-40,-1.0241443601804132,0.021,0.432,3.4624675570225825e-36,2,Birc5
2.8249641752405663e-40,-0.7116861896789675,0.043,0.473,8.835357954482394e-36,2,Smc2
6.735576365591595e-39,-1.181532889834732,0.683,0.866,2.1066188641024273e-34,2,Tubb5
2.8820570632433593e-38,-0.7367345776685765,0.016,0.405,9.013921670999931e-34,2,Cdca8
5.47301548543988e-38,0.9889749886292494,0.835,0.467,1.711740323226177e-33,2,Dnase1l3
1.2863488805549288e-37,-0.6472350453161758,0.016,0.402,4.023184758823595e-33,2,Spc24
1.7275719536166224e-37,0.37784930865953603,1,1,5.403154042131348e-33,2,Cd52
3.0291736584753792e-37,-0.6567150094167536,0.597,0.896,9.474043534247596e-33,2,Snrpd1
2.4403509033999848e-36,-0.706810723656832,0.341,0.753,7.632441485473792e-32,2,Selenoh
2.8455381199375634e-36,-0.5227472505535982,0.901,0.976,8.899705023916723e-32,2,Prdx1
6.2579666439880256e-34,-0.5414376320441926,0.029,0.402,1.957241647573695e-29,2,Rrm1
7.0892740405890474e-34,0.2599039929959299,1,0.997,2.2172413489346306e-29,2,Rps9
1.1840679079606932e-33,-0.8670736239163968,0.259,0.646,3.7032907889378644e-29,2,Dut
5.768786909818464e-33,-0.677636366543624,0.173,0.58,1.8042457939148227e-28,2,Hmgn2
1.3338530589204663e-32,0.28427476414567066,0.997,1,4.1717588270796505e-28,2,Rps27
1.5072938040587048e-31,-0.5766703215627127,0.701,0.911,4.714212101574005e-27,2,Hnrnpab
2.8426259613625925e-31,-0.7051965938183136,0.645,0.848,8.890596956757644e-27,2,Dek
3.931836536782772e-31,-0.5732595370385207,0.803,0.943,1.2297211952441797e-26,2,Set
4.166801136294348e-31,-0.7892490347305047,0.459,0.753,1.3032087233874203e-26,2,Nucks1
4.4862834938590315e-31,-0.5663166533408011,0.024,0.363,1.4031300255393507e-26,2,Cdk1
5.845207487858237e-31,-0.5436622079834516,0.016,0.345,1.828147093902542e-26,2,Cdca3
6.7412482131347505e-31,-0.7947835576023763,0.115,0.494,2.1083927911400245e-26,2,Cks2
1.2866639716918832e-30,-0.5031594693474424,0.997,0.997,4.024170237863534e-26,2,Crip1
1.4499853247402976e-30,-0.5603894150375355,0.035,0.372,4.534974101657755e-26,2,Mcm7
1.4911089132905012e-30,-0.5706697552201518,0.797,0.94,4.6635922372073715e-26,2,Ncl
7.902431356529077e-30,-0.6663314307194896,0,0.298,2.471564431068034e-25,2,Nusap1
8.987574157771817e-30,-0.5452040455180192,0.056,0.414,2.8109536935847133e-25,2,Mcm6
2.564442738585266e-29,-0.49937974019970166,0.013,0.324,8.020551109199277e-25,2,Racgap1
3.721478247260676e-29,-0.5195104394793251,0.149,0.554,1.1639295366132489e-24,2,Lsm2
9.15766168912336e-29,-0.47339845784680273,0.032,0.357,2.864150269890222e-24,2,Cenpw
9.947840937735672e-29,-0.9872476675457458,0.037,0.363,3.1112867316862087e-24,2,Ube2c
1.260908977314422e-28,-0.6305031159871519,0.68,0.917,3.9436189174485864e-24,2,Hsp90aa1
2.6968753912706028e-28,-0.5187903024063812,0.069,0.42,8.434747473737937e-24,2,Dnmt1
3.9956093610923686e-28,0.30512617234187633,0.992,0.997,1.2496667837752491e-23,2,Eef1b2
6.1379194830092995e-28,-0.49802110534308275,0.875,0.976,1.9196956975059886e-23,2,Cycs
9.736064249287798e-28,-0.49473012560542634,0.008,0.298,3.0450514546072517e-23,2,Tpx2
1.144825217802561e-27,-0.5590906871446605,0.032,0.345,3.58055535119929e-23,2,Lig1
1.1847708473323698e-27,-0.481434752735173,0.76,0.943,3.7054893021167197e-23,2,Hnrnpa3
1.3734238865811498e-27,-0.5886030044074032,0,0.277,4.295520547671204e-23,2,Rrm2
5.41114326693567e-27,-0.844773242878141,0.195,0.548,1.6923891681668003e-22,2,H2afx
6.154211223273636e-27,-0.7659607757517166,0.363,0.688,1.9247911021910626e-22,2,H2afv
6.817034337192168e-27,-0.4901800906014674,0.035,0.348,2.1320956593002226e-22,2,Tyms
6.945293002490287e-27,-0.41065423917353394,0.944,0.979,2.172209839458862e-22,2,Ybx1
8.235049188203259e-27,0.6387445501678055,0.837,0.497,2.575593984102451e-22,2,Cadm1
3.698005998201759e-26,-0.49938284036451924,0.171,0.557,1.1565883559975822e-21,2,Exosc8
3.9343608556787026e-26,0.4316956178326645,0.995,0.958,1.2305107012220711e-21,2,Ppt1
6.016896164572763e-26,-0.5678724709645022,0.227,0.592,1.8818444444317774e-21,2,Lsm3
6.214977477807487e-26,-0.5999733007882444,0.411,0.753,1.9437963559590696e-21,2,Anp32e
6.418540607077342e-26,-0.47003756723170154,0.013,0.295,2.0074627602695094e-21,2,Uhrf1
9.215645416631444e-26,-0.6836760425241588,0.437,0.75,2.88228526050565e-21,2,Ube2s
1.057485478110427e-25,-0.41711159374500467,0,0.259,3.3073915813381713e-21,2,Ccna2
2.832194754242438e-25,-0.6179339024406957,0.589,0.833,8.85797231336865e-21,2,Mif
3.8341633603969493e-25,-0.41978796620723813,0.013,0.286,1.1991729325977498e-20,2,Cenpm
4.313859755009712e-25,-0.46395635241427957,0.776,0.94,1.3492027769768374e-20,2,Snrpd2
