seurat_clusters,type,r
0,endothelial cell-Limb,0.7438313933520834
12,mature luminal cell-Mammary,0.7606534845603177
3,mesenchymal stem cell-Limb,0.8293960479371991
11,endothelial cell-Mammary,0.7880683144745416
1,endothelial cell-Limb,0.7147753969862423
16,B cell-Limb,0.6798022648207448
17,endothelial cell-Limb,0.6720590636514706
14,mesenchymal stem cell-Limb,0.8304322948993961
10,T cell-Spleen,0.7660814246360922
8,endothelial cell-Limb,0.7253933438414353
19,B cell-Limb,0.6699306686026135
21,luminal epithelial cell of mammary gland-Mammary,0.7644719305881137
24,fibroblast-Heart,0.5818299837087588
18,stromal cell-Mammary,0.6458971207785613
20,endothelial cell-Bladder,0.7350302122249175
25,mesenchymal stem cell-Limb,0.6988095491900242
6,macrophage-Spleen,0.8053280293401718
15,natural killer cell-Spleen,0.8172561867466004
9,macrophage-Spleen,0.810899194170651
22,granulocyte-Marrow,0.6952500631985916
4,monocyte-Marrow,0.8477837525378044
7,macrophage-Spleen,0.7892185916021073
23,T cell-Marrow,0.7758509986764477
5,macrophage-Spleen,0.8640518010019139
13,macrophage-Spleen,0.8204140861119946
2,macrophage-Spleen,0.7366676663137918
