Estimated Number of Cells,Mean Reads per Cell,Median Genes per Cell,Number of Reads,Valid Barcodes,Sequencing Saturation,Q30 Bases in Barcode,Q30 Bases in RNA Read,Q30 Bases in UMI,Reads Mapped to Genome,Reads Mapped Confidently to Genome,Reads Mapped Confidently to Intergenic Regions,Reads Mapped Confidently to Intronic Regions,Reads Mapped Confidently to Exonic Regions,Reads Mapped Confidently to Transcriptome,Reads Mapped Antisense to Gene,Fraction Reads in Cells,Total Genes Detected,Median UMI Counts per Cell,Antibody: Number of Reads,Antibody: Mean Reads per Cell,Antibody: Valid Barcodes,Antibody: Sequencing Saturation,Antibody: Q30 Bases in Barcode,Antibody: Q30 Bases in Antibody Read,Antibody: Q30 Bases in UMI,Antibody: Fraction Antibody Reads,Antibody: Fraction Antibody Reads Usable,Antibody: Antibody Reads Usable per Cell,Antibody: Fraction Reads in Barcodes with High UMI Counts,Antibody: Fraction Unrecognized Antibody,Antibody: Antibody Reads in Cells,Antibody: Median UMIs per Cell (summed over all recognized antibody barcodes),sample
"1,062","48,662","2,667","51,679,187",98.2%,45.4%,93.2%,86.9%,88.7%,83.4%,80.4%,5.5%,19.7%,55.2%,51.8%,1.2%,89.7%,"17,801","7,800","62,884,161","59,212",78.2%,32.1%,93.1%,68.8%,93.0%,26.4%,8.6%,"5,079",0.0%,73.6%,32.7%,103,GEX_CD45neg_d2-ADT_CD45neg_d2
"6,520","20,226","1,800","131,876,800",98.3%,46.9%,93.2%,86.0%,91.3%,86.9%,84.3%,5.3%,25.4%,53.5%,49.8%,1.5%,91.2%,"19,772","3,758","42,055,778","6,450",94.1%,23.1%,93.6%,77.0%,93.7%,77.8%,48.6%,"3,135",0.0%,22.2%,62.8%,140,GEX_CD45neg_d14-ADT_CD45neg_d14
"8,304","31,896","1,607","264,868,933",98.2%,62.2%,93.0%,86.1%,91.4%,87.0%,84.1%,4.9%,22.3%,56.9%,53.0%,1.7%,96.1%,"17,546","4,431","48,644,054","5,857",84.1%,32.1%,92.9%,65.1%,92.7%,36.5%,30.6%,"1,794",0.0%,63.5%,84.3%,79,GEX_CD45pos_d2-ADT_CD45pos_d2
"4,963","24,581","1,670","121,996,179",98.3%,48.3%,93.1%,86.7%,90.6%,88.0%,85.2%,4.9%,21.5%,58.7%,55.0%,1.5%,94.4%,"17,082","4,838","54,599,467","11,001",72.0%,34.9%,92.9%,66.1%,93.2%,8.7%,2.3%,256,0.0%,91.3%,26.9%,27,GEX_CD45pos_d14-ADT_CD45pos_d14
